trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.1, 'e': 0.9971721561963784}",25,0,-52.70679675696868,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.1, 'e': 0.9846878557941267}",30,0,-145.49598558750014,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
97,False,"{'a': 0.1, 'e': 0.9623648798313097}",20,0,-71.38588776724893,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
98,False,"{'a': 0.1, 'e': 0.9304262721047533}",20,0,-145.94036060945137,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
99,False,"{'a': 0.1, 'e': 0.8891911526253609}",20,0,-63.220560591835046,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
100,False,"{'a': 0.1, 'e': 0.8390715290764524}",20,0,-71.57849662024027,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
101,False,"{'a': 0.1, 'e': 0.7805681801691826}",20,0,-70.03751888649302,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
102,False,"{'a': 0.1, 'e': 0.714265652027199}",20,0,-169.55343584073216,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
103,False,"{'a': 0.1, 'e': 0.6408264175949933}",25,0,-132.37087723218457,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
104,False,"{'a': 0.1, 'e': 0.5609842574272288}",20,10,-43.8449654030991,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.1, 'e': 0.47553692799599256}",20,0,-58.15278150434806,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.1, 'e': 0.385338190771828}",25,0,-135.8808755217814,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 3}",0
107,False,"{'a': 0.1, 'e': 0.29128928172134383}",20,0,-61.32888658257939,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
108,False,"{'a': 0.1, 'e': 0.1943299064553348}",20,10,18.49811267521937,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.1, 'e': 0.09542885100095065}",25,7,30.317347910882688,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.1, 'e': 0.004425697988050785}",20,1,25.775125529276124,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.1, 'e': 0.10423602686569865}",25,8,19.48707677349123,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.1, 'e': 0.20300486381875213}",35,10,-60.22248707293356,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",1
113,False,"{'a': 0.1, 'e': 0.2997453432770149}",20,9,-2.444585635808072,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.1, 'e': 0.3934908663478909}",20,0,-48.97137171023931,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.1, 'e': 0.4833047587530059}",25,11,-22.931188196846538,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.1, 'e': 0.568289629767975}",30,18,-15.361615985449335,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
